n_input_variables,RSQ,RSS,ADJ.R2
1,0.1945884426186273,21.492549638435392,0.1936885414371956
2,0.21648869450443098,20.908137549440504,0.21473587279191297
3,0.22813078701687184,20.597466254838743,0.22553772135175498
4,0.2310128507310245,20.52055787567548,0.22756447786434741
5,0.23374862425953802,20.447553275949762,0.22944867265605629
6,0.23779939559729202,20.339457727465593,0.23266096455637497
7,0.23841211753441693,20.32310713437126,0.2324153625543729
8,0.2389621193264062,20.308430239425785,0.23210592220322068
9,0.2392325458163307,20.301213860786834,0.2315133720985708
10,0.2394983087279744,20.29412193055786,0.23091476819443013
11,0.23949945218371094,20.294091417239606,0.23004690300181352
