term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.24366156680685494,0.04076032367724952,5.977910497871126,3.275006508317987e-9,0.16366339399251262,0.32365973962119726
departmentsewing,0.016958029304761695,0.021919508195687804,0.7736500816244511,0.43934434834456826,-0.026062252342872953,0.05997831095239634
dayWeekend,0.006135577294319645,0.010801002251568364,0.5680562925008859,0.5701408347077681,-0.015062989516162875,0.027334144104802165
targeted_productivity,0.6988608068065397,0.052682483979318316,13.265524971846299,9.205911282150235e-37,0.5954636284367648,0.8022579851763146
smv,-0.0018777415798556863,9.822024640356313e-4,-1.9117663095045623,0.05622885712827093,-0.0038054594036582437,4.997624394687092e-5
wip,7.060419047375542e-6,3.621374175786083e-6,1.9496519013650262,0.05153312853510042,-4.706418641512094e-8,1.4167902281166204e-5
over_time,-7.803023539279435e-8,2.1391013830857456e-6,-0.036478044476897294,0.9709094111526089,-4.2763335527682044e-6,4.120273081982616e-6
incentive,6.620842388098982e-5,3.5923018324868385e-5,1.8430640566512697,0.06565391185851358,-4.295820656440399e-6,1.3671266841842005e-4
idle_time,3.560345769730874e-4,4.4971649661887023e-4,0.7916867174094856,0.42875550411552377,-5.266006616194204e-4,0.001238669815565595
idle_men,-0.007730634035536047,0.002021489961126765,-3.8242257860271756,1.40383001741357e-4,-0.011698107516197806,-0.0037631605548742878
no_of_style_change,-0.035184922104510075,0.013510977035835349,-2.6041730373154084,0.009363993931166074,-0.061702215842455735,-0.008667628366564414
halfHalf2,-0.005757552665127059,0.010467174169378658,-0.5500579785870549,0.5824183991780165,-0.026300932416234036,0.014785827085979916
