department,day,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,half
sewing,Weekend,0.75,10.05,629,3240,45,0,0,0,27,0.750027778,Half1
finishing,Weekday,0.75,4.15,0,2160,0,0,0,0,12,0.712626263,Half1
sewing,Weekday,0.8,11.41,843,5670,50,0,0,0,31.5,0.800181818,Half1
sewing,Weekday,0.7,25.31,946,5760,60,0,0,0,54,0.700513566,Half1
sewing,Weekday,0.6,15.28,529,1320,0,0,0,1,46,0.600099145,Half1
finishing,Weekday,0.8,4.08,0,1080,0,0,0,0,9,0.778222222,Half1
sewing,Weekday,0.65,23.41,1262,4560,35,0,0,1,38,0.650962281,Half1
sewing,Weekday,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492,Half1
sewing,Weekend,0.65,22.52,1138,10170,35,0,0,0,56.5,0.650416734,Half2
sewing,Weekday,0.65,29.4,962,4560,0,4.5,30,2,57,0.251399254,Half2
finishing,Weekday,0.75,3.94,0,960,0,0,0,0,8,0.755166667,Half1
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,0.771583333,Half1
finishing,Weekday,0.75,2.9,0,1800,0,0,0,0,15,0.726933333,Half2
finishing,Weekend,0.8,4.6,0,1080,0,0,0,0,9,0.945555556,Half1
sewing,Weekday,0.8,11.61,972,5670,38,0,0,0,31.5,0.800246753,Half1
sewing,Weekday,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826,Half1
sewing,Weekday,0.75,18.79,1228,6240,45,0,0,0,52,0.750395513,Half1
finishing,Weekday,0.35,2.9,0,1800,0,0,0,0,15,0.977555556,Half2
sewing,Weekend,0.8,48.68,171,10620,63,0,0,0,59,0.800117103,Half2
sewing,Weekday,0.8,29.12,14,6960,0,0,0,0,58,0.497885057,Half1
finishing,Weekend,0.8,3.94,0,6000,0,0,0,0,20,0.911589744,Half1
sewing,Weekday,0.65,12.52,1004,9540,44,0,0,0,53,0.64998056,Half1
sewing,Weekend,0.65,20.1,1417,6480,49,0,0,0,54,0.650148148,Half2
sewing,Weekday,0.35,11.41,434,3240,0,0,0,1,52,0.507903226,Half1
sewing,Weekend,0.8,22.52,674,3660,63,0,0,0,57,0.80037492,Half1
finishing,Weekday,0.75,4.08,0,1080,0,0,0,0,9,0.755555556,Half2
sewing,Weekday,0.8,22.52,1300,6780,113,0,0,0,56.5,1.000446018,Half1
sewing,Weekday,0.7,22.94,1006,10170,38,0,0,0,56.5,0.750517565,Half2
finishing,Weekday,0.5,5.13,0,960,0,0,0,0,8,0.2565,Half2
finishing,Weekday,0.75,3.94,0,960,0,0,0,0,8,0.994270833,Half1
finishing,Weekday,0.35,4.15,0,960,0,0,0,0,8,0.703770833,Half1
sewing,Weekend,0.7,30.33,512,4560,0,0,0,1,58,0.700211111,Half2
sewing,Weekday,0.8,29.12,1069,6960,50,0,0,0,58,0.799963218,Half1
finishing,Weekday,0.35,4.3,0,2700,0,0,0,0,8,0.908080808,Half1
sewing,Weekend,0.5,23.41,1379,2280,0,0,0,1,39,0.500528095,Half1
sewing,Weekday,0.5,15.28,261,5520,0,0,0,1,46,0.404144928,Half1
finishing,Weekend,0.7,3.9,0,960,0,0,0,0,8,0.5565625,Half2
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,2,0.951420455,Half1
finishing,Weekend,0.7,3.9,0,960,0,0,0,0,8,0.585,Half1
sewing,Weekday,0.8,11.41,986,5490,50,0,0,0,30.5,0.800343766,Half1
sewing,Weekday,0.8,15.26,1133,4080,38,0,0,0,34,0.800401961,Half2
sewing,Weekday,0.8,26.16,1156,10620,75,0,0,0,59,0.850502311,Half1
finishing,Weekend,0.35,3.94,0,2400,0,0,0,0,10,0.80575,Half1
sewing,Weekday,0.6,15.09,1519,360,23,0,0,0,52,0.600143365,Half2
sewing,Weekday,0.8,29.4,1156,6840,50,0,0,0,57,0.800333333,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.891723485,Half1
finishing,Weekend,0.8,2.9,0,960,0,0,0,0,8,0.682708333,Half1
finishing,Weekday,0.8,3.94,0,960,0,0,0,0,8,0.64025,Half2
finishing,Weekday,0.75,2.9,0,1800,0,0,0,0,15,0.821666667,Half1
sewing,Weekday,0.8,15.26,1095,4080,63,0,0,0,34,0.800401961,Half2
finishing,Weekday,0.75,2.9,0,960,0,0,0,0,8,0.410833333,Half2
sewing,Weekend,0.65,29.12,1086,10440,26,0,0,0,58,0.650407524,Half2
sewing,Weekend,0.8,11.41,471,3420,50,0,0,0,58,0.800034503,Half1
sewing,Weekend,0.75,30.1,627,6960,0,3.5,20,1,58,0.393548851,Half2
sewing,Weekend,0.8,19.87,1043,6420,0,0,0,0,55,0.690182815,Half1
finishing,Weekend,0.8,2.9,0,960,0,0,0,0,8,0.8319375,Half2
sewing,Weekend,0.7,20.4,1217,10440,50,0,0,0,58,0.700250784,Half2
finishing,Weekday,0.8,3.94,0,1200,0,0,0,0,10,0.85695,Half1
sewing,Weekday,0.35,28.08,749,10260,23,0,0,0,57,0.350066986,Half2
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,0.238041667,Half1
finishing,Weekday,0.8,4.6,0,10080,0,0,0,0,24,0.86037037,Half1
finishing,Weekday,0.35,4.3,0,2160,0,0,0,0,12,0.952020202,Half1
sewing,Weekday,0.65,26.66,832,6780,55,0,0,0,57,0.750254867,Half1
finishing,Weekday,0.8,4.6,0,3780,0,0,0,0,9,0.590617284,Half2
sewing,Weekday,0.5,15.26,1352,3720,23,0,0,0,34,0.500290419,Half2
sewing,Weekend,0.7,22.52,1002,10080,40,0,0,0,56,0.700094156,Half2
finishing,Weekday,0.75,3.94,0,1440,0,0,0,0,8,0.805909091,Half1
finishing,Weekday,0.7,3.94,0,1440,0,0,0,0,12,0.75885,Half1
sewing,Weekend,0.75,30.1,481,7140,0,0,0,1,59,0.750392157,Half1
finishing,Weekend,0.75,3.94,0,1440,0,0,0,0,8,0.895454545,Half2
finishing,Weekend,0.75,4.15,0,240,0,0,0,0,2,0.760833333,Half2
finishing,Weekend,0.8,3.94,0,1200,0,0,0,0,10,0.8865,Half1
sewing,Weekday,0.7,18.79,913,4020,30,0,0,0,33.5,0.700184577,Half1
sewing,Weekend,0.75,29.4,792,4560,56,0,0,2,58,0.750425926,Half2
sewing,Weekday,0.7,21.82,1591,3240,0,0,0,1,52,0.700251773,Half2
finishing,Weekend,0.8,5.13,0,4800,0,0,0,0,20,0.8300625,Half2
finishing,Weekend,0.7,3.94,0,1440,0,0,0,0,8,0.970075758,Half2
sewing,Weekday,0.7,29.12,1143,10440,40,0,0,0,58,0.70061442,Half2
finishing,Weekday,0.7,4.15,0,1440,0,0,0,0,8,1.033570076,Half2
finishing,Weekend,0.7,3.94,0,1200,0,0,0,0,10,0.971866667,Half2
finishing,Weekday,0.75,3.94,0,1200,0,0,0,0,10,0.77815,Half2
sewing,Weekday,0.7,30.33,361,3960,30,0,0,1,58,0.700069811,Half2
sewing,Weekday,0.8,29.12,1263,2160,38,0,0,0,58,0.8008,Half1
sewing,Weekend,0.8,29.12,909,6960,50,0,0,0,58,0.799963218,Half1
finishing,Weekday,0.8,4.6,0,6300,0,0,0,0,15,0.902962963,Half1
finishing,Weekday,0.8,3.94,0,3420,0,0,0,0,19,0.953110048,Half2
sewing,Weekday,0.8,28.08,776,10350,63,0,0,0,57.5,0.800594466,Half1
finishing,Weekend,0.8,3.94,0,1440,0,0,0,0,12,0.796208333,Half1
sewing,Weekend,0.75,29.12,1082,6840,81,0,0,0,57,0.850610526,Half2
sewing,Weekday,0.8,28.08,942,10530,75,0,0,0,58.5,0.850181818,Half1
sewing,Weekend,0.7,26.82,1267,8160,70,0,0,0,58,0.850045,Half1
sewing,Weekday,0.8,26.16,1160,10620,75,0,0,0,59,0.850502311,Half2
finishing,Weekday,0.7,4.15,0,2700,0,0,0,0,15,0.362666667,Half2
finishing,Weekday,0.8,5.13,0,1800,0,0,0,0,15,0.5814,Half2
finishing,Weekend,0.75,2.9,0,960,0,0,0,0,8,0.610208333,Half1
sewing,Weekend,0.8,50.48,562,10440,0,0,0,0,58,0.473134796,Half1
finishing,Weekday,0.65,4.15,0,1440,0,0,0,0,8,0.958901515,Half2
sewing,Weekend,0.7,24.26,658,6960,0,270,45,0,58,0.662270115,Half1
finishing,Weekday,0.75,4.08,0,1080,0,0,0,0,9,0.634666667,Half2
sewing,Weekday,0.8,19.87,857,9900,50,0,0,0,55,0.800273829,Half1
sewing,Weekday,0.4,15.28,157,5400,0,6.5,30,1,45,0.30277037,Half1
sewing,Weekday,0.35,22.53,1450,2640,0,0,0,1,39,0.26369382,Half1
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,0.971866667,Half2
finishing,Weekday,0.75,3.94,0,960,0,0,0,0,8,0.755166667,Half1
sewing,Weekday,0.75,30.1,739,5640,45,0,0,1,59,0.750727326,Half2
finishing,Weekend,0.7,4.15,0,1440,0,0,0,0,12,0.928680556,Half1
finishing,Weekend,0.75,3.94,0,1560,0,0,0,0,8,0.945277778,Half1
sewing,Weekday,0.7,10.05,1042,6120,60,0,0,0,53,0.700278846,Half1
finishing,Weekday,0.7,2.9,0,720,0,0,0,0,6,0.394722222,Half1
finishing,Weekday,0.8,4.3,0,1440,0,0,0,0,12,0.722638889,Half2
finishing,Weekday,0.8,4.6,0,8400,0,0,0,0,20,0.684888889,Half1
sewing,Weekday,0.6,23.54,958,6600,0,0,0,0,55,0.285333333,Half2
sewing,Weekend,0.7,22.52,882,10170,50,0,0,0,56.5,0.7005417,Half2
sewing,Weekday,0.8,22.52,1416,6840,113,0,0,0,57,1.000230409,Half2
sewing,Weekend,0.7,16.1,928,4800,30,0,0,1,45,0.700106061,Half1
finishing,Weekday,0.8,4.6,0,2640,0,0,0,0,22,0.980984848,Half1
sewing,Weekday,0.8,19.31,678,4800,50,0,0,0,55,0.800250962,Half1
finishing,Weekend,0.75,3.94,0,3420,0,0,0,0,19,0.955151515,Half2
finishing,Weekday,0.7,2.9,0,1800,0,0,0,0,15,0.902222222,Half2
sewing,Weekday,0.7,14.89,1501,10260,50,0,0,0,57,0.700170388,Half2
finishing,Weekend,0.5,4.15,0,1440,0,0,0,0,8,0.609138258,Half1
finishing,Weekday,0.8,2.9,0,960,0,0,0,0,8,0.3715625,Half2
sewing,Weekday,0.7,29.4,1094,6840,40,0,0,2,57,0.700614035,Half2
finishing,Weekday,0.7,3.94,0,12000,0,0,0,0,20,0.460578704,Half2
sewing,Weekday,0.35,14.61,838,7200,23,0,0,0,55,0.35003125,Half1
finishing,Weekday,0.8,4.6,0,1080,0,0,0,0,9,0.92,Half1
sewing,Weekday,0.8,26.16,1179,10620,75,0,0,0,59,0.850502311,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.813371212,Half1
sewing,Weekend,0.8,22.52,1396,6900,113,0,0,0,57.5,1.000671304,Half1
sewing,Weekday,0.75,22.94,1764,10260,55,0,0,0,57,0.800034024,Half2
sewing,Weekday,0.5,22.4,947,3390,23,0,0,0,56.5,0.499980334,Half1
sewing,Weekday,0.75,18.79,1085,6240,56,0,0,1,52,0.970816667,Half2
sewing,Weekday,0.7,30.1,667,5940,40,0,0,1,59.5,0.700588406,Half1
sewing,Weekday,0.8,22.52,1271,5400,50,0,0,0,57,0.800161172,Half1
finishing,Weekday,0.5,2.9,0,960,0,0,0,0,8,0.259375,Half2
sewing,Weekend,0.65,14.89,1140,10260,44,0,0,0,57,0.650299575,Half2
sewing,Weekday,0.65,20.79,1141,8460,0,0,0,0,59,0.650040783,Half1
finishing,Weekend,0.8,4.3,0,1440,0,0,0,0,12,0.845069444,Half1
finishing,Weekend,0.8,4.08,0,1080,0,0,0,0,9,0.800888889,Half1
sewing,Weekday,0.8,15.26,1083,720,38,0,0,0,34,0.800612676,Half1
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,0.902916667,Half1
finishing,Weekday,0.8,3.94,0,2160,0,0,0,0,18,0.601944444,Half1
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.681060606,Half1
finishing,Weekend,0.8,3.94,0,1200,0,0,0,0,10,0.971866667,Half2
sewing,Weekday,0.7,22.94,1745,10440,60,0,0,0,58,0.800023511,Half2
sewing,Weekend,0.8,22.52,1060,6840,100,0,0,0,57,0.950185965,Half1
finishing,Weekend,0.75,4.15,0,1440,0,0,0,0,8,0.93532197,Half1
finishing,Weekday,0.7,3.94,0,15000,0,0,0,0,25,0.649662222,Half2
finishing,Weekday,0.8,4.6,0,1800,0,0,0,0,15,0.810111111,Half1
sewing,Weekday,0.7,30.33,408,1680,30,0,0,1,59,0.700623,Half2
finishing,Weekend,0.7,2.9,0,3360,0,0,0,0,8,0.410833333,Half2
sewing,Weekday,0.6,20.79,1045,6960,88,0,0,0,58,0.800534483,Half2
sewing,Weekday,0.8,22.52,1016,10170,60,0,0,0,56.5,0.850312684,Half2
sewing,Weekend,0.75,29.4,622,6240,56,0,0,0,57,0.75075,Half1
finishing,Weekend,0.7,5.13,0,960,0,0,0,0,8,0.283958333,Half2
finishing,Weekday,0.8,3.94,0,960,0,0,0,0,8,0.804416667,Half1
sewing,Weekend,0.8,11.61,1009,5640,63,0,0,0,32,0.800537143,Half2
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.689299242,Half2
sewing,Weekday,0.5,22.4,783,10170,23,0,0,0,56.5,0.500380799,Half1
sewing,Weekday,0.7,30.33,398,6960,0,0,0,1,58,0.66237931,Half2
sewing,Weekday,0.75,22.94,1868,6960,81,0,0,0,58,0.850362069,Half2
finishing,Weekday,0.8,3.94,0,2640,0,0,0,0,22,0.999924242,Half1
sewing,Weekday,0.5,22.52,1102,10170,30,0,0,0,56.5,0.660683293,Half2
finishing,Weekday,0.7,2.9,0,0,960,0,0,0,8,0.477291667,Half1
sewing,Weekend,0.8,15.26,1064,4080,63,0,0,0,34,0.800401961,Half1
finishing,Weekday,0.75,2.9,0,0,3600,0,0,0,15,0.841,Half1
finishing,Weekday,0.7,2.9,0,3360,0,0,0,0,8,0.410833333,Half2
sewing,Weekday,0.7,30.1,773,7020,40,0,0,0,58,0.700618234,Half1
sewing,Weekend,0.6,12.52,831,9540,30,0,0,0,53,0.600229846,Half1
sewing,Weekend,0.5,23.54,1144,6480,0,0,0,0,54,0.286984568,Half2
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,0.6253125,Half1
sewing,Weekday,0.75,11.41,826,2820,0,0,0,2,58,0.750293939,Half2
sewing,Weekend,0.8,25.9,1209,10170,60,0,0,0,56.5,0.850136766,Half1
sewing,Weekday,0.8,30.1,29,7080,50,0,0,0,59,0.800115819,Half1
finishing,Weekday,0.75,4.6,0,3360,0,0,0,0,8,0.702777778,Half1
sewing,Weekend,0.8,22.52,1124,6840,100,0,0,0,57,0.950185965,Half1
sewing,Weekend,0.8,25.9,1039,6780,45,0,0,0,56.5,0.850345133,Half1
finishing,Weekend,0.8,3.94,0,3000,0,0,0,0,25,1.050666667,Half1
